S_id,D_id,R_id,V_id,RH_etime,RH_stime,RH_origin,RH_dest,Rating
1,7,3,4,1/1/2020 14:40,3/5/2023 20:06,5 Moland Way,92311 Melrose Way,1
2,5,10,10,2:24:00,6:10:00,6155 6th Hill,407 Express Place,4
3,3,10,6,11:40:00,11:40:00,9207 Service Park,77 Straubel Point,3
4,7,6,7,2:55:00,4:19:00,3852 Sunfield Point,1087 Carey Place,5
5,7,10,4,1:57:00,5:18:00,330 Knutson Place,4 Messerschmidt Alley,1
6,4,2,9,3:02:00,7:31:00,750 Oakridge Way,515 Northport Alley,5
7,10,1,10,1:39:00,3:13:00,48 Miller Avenue,21972 Shelley Drive,3
8,2,8,4,1:48:00,3:30:00,5872 Pleasure Pass,52968 Stoughton Road,2
9,6,10,6,6:36:00,4:10:00,53524 Dryden Plaza,0 Ilene Drive,3
10,3,8,10,6:56:00,5:16:00,505 Thackeray Hill,516 Macpherson Trail,2
